Campaign,Download Name,Downloaded (as of),Send Date,Campaign Name,Audience
04.15.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 17_NonGmail,04.15.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 17_NonGmail,7/17/2026,4/15/2026,Turn Your Backyard Into A Sanctuary - Warm up day 17_NonGmail   ,HPP Customers
04.15.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 17_Gmail,04.15.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 17_Gmail,7/17/2026,4/15/2026,Turn Your Backyard Into A Sanctuary - Warm up day 17_Gmail   ,HPP Customers
04.14.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 16_NonGmail,04.14.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 16_NonGmail,7/17/2026,4/14/2026,Turn Your Backyard Into A Sanctuary - Warm up day 16_NonGmail   ,HPP Customers
04.14.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 16_Gmail,04.14.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 16_Gmail,7/17/2026,4/14/2026,Turn Your Backyard Into A Sanctuary - Warm up day 16_Gmail   ,HPP Customers
04.13.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 15_NonGmail,04.13.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 15_NonGmail,7/17/2026,4/13/2026,Turn Your Backyard Into A Sanctuary - Warm up day 15_NonGmail   ,HPP Customers
04.13.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 15_Gmail,04.13.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 15_Gmail,7/17/2026,4/13/2026,Turn Your Backyard Into A Sanctuary - Warm up day 15_Gmail   ,HPP Customers
04.10.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 14_NonGmail,04.10.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 14_NonGmail,7/17/2026,4/10/2026,Turn Your Backyard Into A Sanctuary - Warm up day 14_NonGmail   ,HPP Customers
04.10.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 14_ Gmail,04.10.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 14_ Gmail,7/17/2026,4/10/2026,Turn Your Backyard Into A Sanctuary - Warm up day 14_ Gmail  ,HPP Customers
04.09.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 13_NonGmail,04.09.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 13_NonGmail,7/17/2026,4/9/2026,Turn Your Backyard Into A Sanctuary - Warm up day 13_NonGmail   ,HPP Customers
04.09.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 13_ Gmail,04.09.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 13_ Gmail,7/17/2026,4/9/2026,Turn Your Backyard Into A Sanctuary - Warm up day 13_ Gmail  ,HPP Customers
04.08.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 12_NonGmail,04.08.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 12_NonGmail,7/17/2026,4/8/2026,Turn Your Backyard Into A Sanctuary - Warm up day 12_NonGmail   ,HPP Customers
04.08.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 12_ Gmail,04.08.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 12_ Gmail,7/17/2026,4/8/2026,Turn Your Backyard Into A Sanctuary - Warm up day 12_ Gmail  ,HPP Customers
04.07.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 11_Gmail,04.07.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 11_Gmail,7/17/2026,4/7/2026,Turn Your Backyard Into A Sanctuary - Warm up day 11_Gmail   ,HPP Customers
04.07.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 11_NonGmail,04.07.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 11_NonGmail,7/17/2026,4/7/2026,Turn Your Backyard Into A Sanctuary - Warm up day 11_NonGmail   ,HPP Customers
04.03.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 10_NonGmail,04.03.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 10_NonGmail,7/17/2026,4/3/2026,Turn Your Backyard Into A Sanctuary - Warm up day 10_NonGmail   ,HPP Customers
04.03.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 10_Gmail,04.03.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 10_Gmail,7/17/2026,4/3/2026,Turn Your Backyard Into A Sanctuary - Warm up day 10_Gmail   ,HPP Customers
03.27.2026 - ST - What does squirrel poop look like? Warm up day 9_NonGmail,03.27.2026 - ST - What does squirrel poop look like_ Warm up day 9_NonGmail,7/17/2026,3/27/2026,What does squirrel poop look like? Warm up day 9_NonGmail    ,90-Day Engaged
03.27.2026 - ST - What does squirrel poop look like? Warm up day 9_Gmail,03.27.2026 - ST - What does squirrel poop look like_ Warm up day 9_Gmail,7/17/2026,3/27/2026,What does squirrel poop look like? Warm up day 9_Gmail    ,90-Day Engaged
