"Microsoft Click ID","Conversion Time","Conversion Name","Conversion Value","Conversion Currency",Campaign,Location,"Subscription ID"
935e6321546d133e2be204cbeab52629,2025-03-31T16:22:00-0500,"Billable Microsoft Call",731.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=pest&service=exterminator&loc_interest_ms=45060&loc_physical_ms=72819&msclkid=935e6321546d133e2be204cbeab52629&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=pest%20exterminator&utm_content=*Pest%20Exterminator,1512731
09fa76b4102e1574b897115eb138304b,2025-03-31T14:06:00-0500,"Billable Microsoft Call",965.00,USD,"-All Locations Brand",https://fox-pest.com/local-location/ms/?pest=exterminator&service=&loc_interest_ms=&loc_physical_ms=100355&msclkid=09fa76b4102e1574b897115eb138304b&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations%20Brand&utm_term=fox%20exterminator&utm_content=Matched%20Fox%20Pest,1512596
b8e276974d9615ff15f811744da534fc,2025-03-25T20:03:00-0500,"Billable Microsoft Call",2625.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=pest&service=exterminator&loc_interest_ms=&loc_physical_ms=100559&msclkid=b8e276974d9615ff15f811744da534fc&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=exterminators%20near%20me&utm_content=*Exterminator,1512853
6c44f805d1a1164ccf8f9fe9efa45f82,2025-04-01T19:27:00-0500,"Billable Microsoft Call",860.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=pest&service=control&loc_interest_ms=&loc_physical_ms=78446&msclkid=6c44f805d1a1164ccf8f9fe9efa45f82&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=pest%20control%20cost&utm_content=*Pest%20Control,1513385
f3b433fa6f3515df64a954175839d3a2,2025-04-02T13:11:00-0500,"Billable Microsoft Call",1050.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=moles&service=exterminator&loc_interest_ms=&loc_physical_ms=88148&msclkid=f3b433fa6f3515df64a954175839d3a2&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=mole%20exterminator%20services&utm_content=Wildlife-Mole%20Exterminator,1513579
0f623f172de6164ea41658fa6ae52877,2025-04-02T14:20:00-0500,"Billable Microsoft Call",865.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=pest&service=control&loc_interest_ms=72533&loc_physical_ms=72533&msclkid=0f623f172de6164ea41658fa6ae52877&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=pest%20control%20near%20me&utm_content=*Pest%20Control,1513624
43b8e50a0ad61ec6cb3782b551ef5e79,2025-04-03T15:01:00-0500,"Billable Microsoft Call",905.00,USD,"-All Locations Brand",https://fox-pest.com/local-location/ms/?pest=exterminator&service=&loc_interest_ms=&loc_physical_ms=99507&msclkid=43b8e50a0ad61ec6cb3782b551ef5e79&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations%20Brand&utm_term=fox%20pest%20control&utm_content=Matched%20Fox%20Pest,1514187
9a0997b825461c491278f048211d50f4,2025-04-04T16:11:00-0500,"Billable Microsoft Call",1073.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=rat&service=control&loc_interest_ms=59266&loc_physical_ms=97164&msclkid=9a0997b825461c491278f048211d50f4&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=pest%20control%20for%20rats%20and%20mice&utm_content=Rat%20Control,1514759
14f978834f071128b2291f736134fe9c,2025-04-04T19:15:00-0500,"Billable Microsoft Call",880.00,USD,"-All Locations",https://fox-pest.com/local-location/ms/?pest=carpenter-ant&service=exterminator&loc_interest_ms=&loc_physical_ms=102665&msclkid=14f978834f071128b2291f736134fe9c&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations&utm_term=carpenter%20ant%20exterminator%20services&utm_content=Carpenter%20Ant%20Exterminator,1514941
0ab8be37c0191277a883d9c3d299acd6,2025-04-07T18:11:00-0500,"Billable Microsoft Call",935.00,USD,"-All Locations Brand",https://fox-pest.com/local-location/ms/?pest=exterminator&service=&loc_interest_ms=&loc_physical_ms=100346&msclkid=0ab8be37c0191277a883d9c3d299acd6&utm_source=bing&utm_medium=cpc&utm_campaign=-All%20Locations%20Brand&utm_term=fox%20pest%20control&utm_content=Matched%20Fox%20Pest,1515700
