customers,zip,branchName
18,23693,"Newport News - VA"
18,79411,"Lubbock - TX"
18,79415,"Lubbock - TX"
18,11798,"Long Island - NY"
18,06451,"Hartford - CT"
18,06067,"Hartford - CT"
18,17257,"Harrisburg - PA"
18,17356,"Harrisburg - PA"
18,60441,"Chicago South - IL"
18,60560,"Chicago South - IL"
18,60084,"Chicago North - IL"
18,01451,"Boston North Shore - MA"
18,01730,"Boston North Shore - MA"
18,70820,"Baton Rouge - LA"
17,10605,"Westchester - NY"
17,10580,"Westchester - NY"
17,13041,"Syracuse - NY"
17,13210,"Syracuse - NY"
17,13205,"Syracuse - NY"
17,14420,"Rochester - NY"
17,14625,"Rochester - NY"
17,14445,"Rochester - NY"
17,14611,"Rochester - NY"
17,02917,"Providence - RI"
17,02840,"Providence - RI"
17,02915,"Providence - RI"
17,15220,"Pittsburgh - PA"
17,15003,"Pittsburgh - PA"
17,15102,"Pittsburgh - PA"
17,06804,"Oxford - CT"
17,06610,"Oxford - CT"
17,06517,"Oxford - CT"
17,14201,"Orchard Park - NY"
17,23606,"Newport News - VA"
17,23664,"Newport News - VA"
17,23188,"Newport News - VA"
17,23707,"Newport News - VA"
17,08807,"New Jersey Central - NJ"
17,08873,"New Jersey Central - NJ"
17,78503,"McAllen - TX"
17,78573,"McAllen - TX"
17,03051,"Manchester - NH"
17,11725,"Long Island - NY"
17,11788,"Long Island - NY"
17,11738,"Long Island - NY"
17,11702,"Long Island - NY"
17,40330,"Lexington - KY"
17,40390,"Lexington - KY"
17,06413,"Hartford - CT"
17,06042,"Hartford - CT"
17,06385,"Hartford - CT"
17,17349,"Harrisburg - PA"
17,60439,"Chicago South - IL"
17,60506,"Chicago South - IL"
17,60174,"Chicago South - IL"
17,60190,"Chicago South - IL"
17,60156,"Chicago North - IL"
17,12010,"Albany - NY"
16,10567,"Westchester - NY"
16,10598,"Westchester - NY"
16,23503,"Virginia Beach - VA"
16,23325,"Virginia Beach - VA"
16,13209,"Syracuse - NY"
16,13224,"Syracuse - NY"
16,14568,"Rochester - NY"
16,02072,"Providence - RI"
16,02760,"Providence - RI"
16,02809,"Providence - RI"
16,01760,"Providence - RI"
16,01757,"Providence - RI"
16,15229,"Pittsburgh - PA"
16,06401,"Oxford - CT"
16,06906,"Oxford - CT"
16,23661,"Newport News - VA"
16,23851,"Newport News - VA"
16,78521,"McAllen - TX"
16,03045,"Manchester - NH"
16,11801,"Long Island - NY"
16,11735,"Long Island - NY"
16,11784,"Long Island - NY"
16,11720,"Long Island - NY"
16,17003,"Harrisburg - PA"
16,17053,"Harrisburg - PA"
16,17552,"Harrisburg - PA"
16,17320,"Harrisburg - PA"
16,17033,"Harrisburg - PA"
16,17225,"Harrisburg - PA"
16,60477,"Chicago South - IL"
16,60007,"Chicago South - IL"
16,60068,"Chicago North - IL"
16,60118,"Chicago North - IL"
16,60014,"Chicago North - IL"
16,60076,"Chicago North - IL"
16,01887,"Boston North Shore - MA"
16,02180,"Boston North Shore - MA"
16,02472,"Boston North Shore - MA"
16,61701,"Bloomington - IL"
16,12302,"Albany - NY"
16,12019,"Albany - NY"
15,12601,"Westchester - NY"
15,10536,"Westchester - NY"
15,23502,"Virginia Beach - VA"
15,13206,"Syracuse - NY"
15,13037,"Syracuse - NY"
15,14472,"Rochester - NY"
15,14622,"Rochester - NY"
15,14607,"Rochester - NY"
15,14424,"Rochester - NY"
15,14615,"Rochester - NY"
15,02571,"Providence - RI"
15,01569,"Providence - RI"
15,15205,"Pittsburgh - PA"
15,15668,"Pittsburgh - PA"
15,15146,"Pittsburgh - PA"
15,15005,"Pittsburgh - PA"
15,15209,"Pittsburgh - PA"
15,15228,"Pittsburgh - PA"
15,06403,"Oxford - CT"
15,34711,"Orlando West - FL"
15,34786,"Orlando West - FL"
15,08054,"New Jersey Central - NJ"
15,78599,"McAllen - TX"
15,03060,"Manchester - NH"
15,03079,"Manchester - NH"
15,03820,"Manchester - NH"
15,11803,"Long Island - NY"
15,11731,"Long Island - NY"
15,11791,"Long Island - NY"
15,11520,"Long Island - NY"
15,70529,"Lafayette - LA"
15,70518,"Lafayette - LA"
15,06705,"Hartford - CT"
